,model,x,f,e
271,"2-layer, AMSGrad-only",-0.07499999999999998,0.15748546,0.08972007
272,"2-layer, AMSGrad-only",-0.06874999999999998,0.14349575,0.081382304
273,"2-layer, AMSGrad-only",-0.0625,0.12973316,0.07319087
274,"2-layer, AMSGrad-only",-0.056249999999999994,0.116180144,0.065147966
275,"2-layer, AMSGrad-only",-0.04999999999999999,0.1028198,0.057261005
276,"2-layer, AMSGrad-only",-0.04374999999999998,0.08963646,0.049533628
277,"2-layer, AMSGrad-only",-0.03749999999999998,0.076616496,0.04195885
278,"2-layer, AMSGrad-only",-0.03125,0.06375026,0.034550644
279,"2-layer, AMSGrad-only",-0.024999999999999994,0.051037647,0.027299214
280,"2-layer, AMSGrad-only",-0.01874999999999999,0.03850358,0.020217542
281,"2-layer, AMSGrad-only",-0.012499999999999983,0.026256826,0.013306282
282,"2-layer, AMSGrad-only",-0.006249999999999978,0.014828784,0.006567591
283,"2-layer, AMSGrad-only",0.0,0.008395182,0.0002795225
284,"2-layer, AMSGrad-only",0.006250000000000033,0.015497022,0.0064148484
285,"2-layer, AMSGrad-only",0.012500000000000011,0.027010564,0.012636315
286,"2-layer, AMSGrad-only",0.01874999999999999,0.039270643,0.018676452
287,"2-layer, AMSGrad-only",0.025000000000000022,0.051805764,0.02454096
288,"2-layer, AMSGrad-only",0.03125,0.064520925,0.030214828
289,"2-layer, AMSGrad-only",0.03750000000000003,0.07739946,0.035709925
290,"2-layer, AMSGrad-only",0.04375000000000001,0.090449244,0.041015677
291,"2-layer, AMSGrad-only",0.050000000000000044,0.103688315,0.04613369
292,"2-layer, AMSGrad-only",0.05625000000000002,0.11713964,0.051059976
293,"2-layer, AMSGrad-only",0.0625,0.13082933,0.05579026
294,"2-layer, AMSGrad-only",0.06875000000000003,0.1447855,0.060324267
295,"2-layer, AMSGrad-only",0.07500000000000001,0.15903786,0.06465823
296,"2-layer, AMSGrad-only",0.08125000000000004,0.17361762,0.0687948
297,"2-layer, AMSGrad-only",0.08750000000000002,0.18855712,0.07272436
298,"2-layer, AMSGrad-only",0.09375,0.20389009,0.07644731
299,"2-layer, AMSGrad-only",0.10000000000000003,0.21965145,0.0799578
300,"2-layer, AMSGrad-only",0.10625000000000001,0.23587763,0.083261095
