,name,explosion,model,num
126,5layer_yes_rescaling_no_amsgrad_yes_ema-07,1389,"5-layer, EMA-only",7
127,5layer_yes_rescaling_no_amsgrad_yes_ema-08,2089,"5-layer, EMA-only",8
128,5layer_yes_rescaling_no_amsgrad_yes_ema-09,1183,"5-layer, EMA-only",9
129,5layer_yes_rescaling_no_amsgrad_yes_ema-10,2628,"5-layer, EMA-only",10
130,5layer_yes_rescaling_no_amsgrad_yes_ema-11,2048,"5-layer, EMA-only",11
131,5layer_yes_rescaling_no_amsgrad_yes_ema-12,4392,"5-layer, EMA-only",12
132,5layer_yes_rescaling_no_amsgrad_yes_ema-13,2315,"5-layer, EMA-only",13
133,5layer_yes_rescaling_no_amsgrad_yes_ema-14,1448,"5-layer, EMA-only",14
134,5layer_yes_rescaling_no_amsgrad_yes_ema-15,2052,"5-layer, EMA-only",15
135,5layer_yes_rescaling_no_amsgrad_yes_ema-16,1448,"5-layer, EMA-only",16
136,5layer_yes_rescaling_no_amsgrad_yes_ema-17,1768,"5-layer, EMA-only",17
137,5layer_yes_rescaling_no_amsgrad_yes_ema-18,1368,"5-layer, EMA-only",18
138,5layer_yes_rescaling_no_amsgrad_yes_ema-19,1968,"5-layer, EMA-only",19
139,5layer_yes_rescaling_no_amsgrad_yes_ema-20,4134,"5-layer, EMA-only",20
140,5layer_yes_rescaling_no_amsgrad_yes_ema-21,1450,"5-layer, EMA-only",21
141,5layer_yes_rescaling_no_amsgrad_yes_ema-22,3769,"5-layer, EMA-only",22
142,5layer_yes_rescaling_no_amsgrad_yes_ema-23,1147,"5-layer, EMA-only",23
143,5layer_yes_rescaling_no_amsgrad_yes_ema-24,2817,"5-layer, EMA-only",24
144,5layer_yes_rescaling_no_amsgrad_yes_ema-25,1356,"5-layer, EMA-only",25
145,5layer_yes_rescaling_no_amsgrad_yes_ema-26,1748,"5-layer, EMA-only",26
146,5layer_yes_rescaling_no_amsgrad_yes_ema-27,1598,"5-layer, EMA-only",27
147,5layer_yes_rescaling_no_amsgrad_yes_ema-28,1200,"5-layer, EMA-only",28
148,5layer_yes_rescaling_no_amsgrad_yes_ema-29,1351,"5-layer, EMA-only",29
149,5layer_yes_rescaling_no_amsgrad_yes_ema-30,3006,"5-layer, EMA-only",30
150,5layer_yes_rescaling_yes_amsgrad_no_ema-01,6001,"5-layer, AMSGrad-only",1
151,5layer_yes_rescaling_yes_amsgrad_no_ema-02,1405,"5-layer, AMSGrad-only",2
152,5layer_yes_rescaling_yes_amsgrad_no_ema-03,2560,"5-layer, AMSGrad-only",3
153,5layer_yes_rescaling_yes_amsgrad_no_ema-04,4629,"5-layer, AMSGrad-only",4
154,5layer_yes_rescaling_yes_amsgrad_no_ema-05,2581,"5-layer, AMSGrad-only",5
155,5layer_yes_rescaling_yes_amsgrad_no_ema-06,4281,"5-layer, AMSGrad-only",6
156,5layer_yes_rescaling_yes_amsgrad_no_ema-07,4206,"5-layer, AMSGrad-only",7
157,5layer_yes_rescaling_yes_amsgrad_no_ema-08,3260,"5-layer, AMSGrad-only",8
158,5layer_yes_rescaling_yes_amsgrad_no_ema-09,4802,"5-layer, AMSGrad-only",9
159,5layer_yes_rescaling_yes_amsgrad_no_ema-10,3662,"5-layer, AMSGrad-only",10
160,5layer_yes_rescaling_yes_amsgrad_no_ema-11,3225,"5-layer, AMSGrad-only",11
161,5layer_yes_rescaling_yes_amsgrad_no_ema-12,3327,"5-layer, AMSGrad-only",12
162,5layer_yes_rescaling_yes_amsgrad_no_ema-13,1691,"5-layer, AMSGrad-only",13
163,5layer_yes_rescaling_yes_amsgrad_no_ema-14,5679,"5-layer, AMSGrad-only",14
164,5layer_yes_rescaling_yes_amsgrad_no_ema-15,6001,"5-layer, AMSGrad-only",15
165,5layer_yes_rescaling_yes_amsgrad_no_ema-16,1967,"5-layer, AMSGrad-only",16
166,5layer_yes_rescaling_yes_amsgrad_no_ema-17,6001,"5-layer, AMSGrad-only",17
167,5layer_yes_rescaling_yes_amsgrad_no_ema-18,4612,"5-layer, AMSGrad-only",18
168,5layer_yes_rescaling_yes_amsgrad_no_ema-19,1500,"5-layer, AMSGrad-only",19
169,5layer_yes_rescaling_yes_amsgrad_no_ema-20,2475,"5-layer, AMSGrad-only",20
170,5layer_yes_rescaling_yes_amsgrad_no_ema-21,6001,"5-layer, AMSGrad-only",21
171,5layer_yes_rescaling_yes_amsgrad_no_ema-22,3537,"5-layer, AMSGrad-only",22
172,5layer_yes_rescaling_yes_amsgrad_no_ema-23,1494,"5-layer, AMSGrad-only",23
173,5layer_yes_rescaling_yes_amsgrad_no_ema-24,1522,"5-layer, AMSGrad-only",24
174,5layer_yes_rescaling_yes_amsgrad_no_ema-25,3855,"5-layer, AMSGrad-only",25
175,5layer_yes_rescaling_yes_amsgrad_no_ema-26,2409,"5-layer, AMSGrad-only",26
176,5layer_yes_rescaling_yes_amsgrad_no_ema-27,6001,"5-layer, AMSGrad-only",27
177,5layer_yes_rescaling_yes_amsgrad_no_ema-28,1509,"5-layer, AMSGrad-only",28
178,5layer_yes_rescaling_yes_amsgrad_no_ema-29,2330,"5-layer, AMSGrad-only",29
179,5layer_yes_rescaling_yes_amsgrad_no_ema-30,6001,"5-layer, AMSGrad-only",30
180,2layer-01,1499,2-layer,1
181,2layer-02,2824,2-layer,2
182,2layer-03,2025,2-layer,3
183,2layer-04,2127,2-layer,4
184,2layer-05,1690,2-layer,5
185,2layer-06,2021,2-layer,6
186,2layer-07,2959,2-layer,7
187,2layer-08,1702,2-layer,8
188,2layer-09,1534,2-layer,9
189,2layer-10,1564,2-layer,10
190,2layer-11,2502,2-layer,11
191,2layer-12,2305,2-layer,12
192,2layer-13,1813,2-layer,13
193,2layer-14,1962,2-layer,14
194,2layer-15,1399,2-layer,15
195,2layer-16,1229,2-layer,16
196,2layer-17,2416,2-layer,17
197,2layer-18,2832,2-layer,18
198,2layer-19,1767,2-layer,19
199,2layer-20,1138,2-layer,20
200,2layer-21,2941,2-layer,21
201,2layer-22,1779,2-layer,22
202,2layer-23,1226,2-layer,23
203,2layer-24,2763,2-layer,24
