,name,explosion,model,num
212,v2_l3_yes_rescaling_no_amsgrad_no_ema_no_swa_wc-04,1519,v2-base,4
213,v2_l3_yes_rescaling_no_amsgrad_no_ema_no_swa_wc-05,2674,v2-base,5
214,v2_l3_yes_rescaling_no_amsgrad_no_ema_no_swa_wc-06,1426,v2-base,6
215,v2_l3_yes_rescaling_no_amsgrad_no_ema_no_swa_wc-07,4609,v2-base,7
216,v2_l3_yes_rescaling_no_amsgrad_no_ema_no_swa_wc-08,1546,v2-base,8
217,v2_l3_yes_rescaling_no_amsgrad_no_ema_no_swa_wc-09,1995,v2-base,9
218,v2_l3_yes_rescaling_no_amsgrad_no_ema_no_swa_wc-10,1619,v2-base,10
219,v2_l3_yes_rescaling_no_amsgrad_no_ema_no_swa_wc-11,1022,v2-base,11
220,v2_l3_yes_rescaling_no_amsgrad_no_ema_no_swa_wc-12,1581,v2-base,12
221,v2_l3_yes_rescaling_no_amsgrad_no_ema_no_swa_wc-13,4229,v2-base,13
222,v2_l3_yes_rescaling_no_amsgrad_no_ema_no_swa_wc-14,1461,v2-base,14
223,v2_l3_yes_rescaling_no_amsgrad_no_ema_no_swa_wc-15,3539,v2-base,15
224,v2_l3_yes_rescaling_no_amsgrad_no_ema_no_swa_wc-16,1441,v2-base,16
225,v2_l3_yes_rescaling_no_amsgrad_no_ema_no_swa_wc-17,5596,v2-base,17
226,v2_l3_yes_rescaling_no_amsgrad_no_ema_no_swa_wc-18,1960,v2-base,18
227,v2_l3_yes_rescaling_no_amsgrad_no_ema_no_swa_wc-19,2624,v2-base,19
228,v2_l3_yes_rescaling_no_amsgrad_no_ema_no_swa_wc-20,3939,v2-base,20
229,v2_l3_yes_rescaling_no_amsgrad_no_ema_no_swa_wc-21,1649,v2-base,21
230,v2_l3_yes_rescaling_no_amsgrad_no_ema_no_swa_wc-22,1694,v2-base,22
231,v2_l3_yes_rescaling_no_amsgrad_no_ema_no_swa_wc-23,1640,v2-base,23
232,v2_l3_yes_rescaling_no_amsgrad_no_ema_no_swa_wc-24,1039,v2-base,24
233,v2_l3_yes_rescaling_no_amsgrad_no_ema_no_swa_wc-25,6001,v2-base,25
234,v2_l3_yes_rescaling_no_amsgrad_no_ema_no_swa_wc-26,1354,v2-base,26
235,v2_l3_yes_rescaling_no_amsgrad_no_ema_no_swa_wc-27,1603,v2-base,27
236,v2_l3_yes_rescaling_no_amsgrad_no_ema_no_swa_wc-28,1180,v2-base,28
237,v2_l3_yes_rescaling_no_amsgrad_no_ema_no_swa_wc-29,1768,v2-base,29
238,v2_l3_yes_rescaling_no_amsgrad_no_ema_no_swa_wc-30,1240,v2-base,30
239,v2_l3_yes_rescaling_no_amsgrad_no_ema_yes_swa_wc-01,4669,v2-swa,1
240,v2_l3_yes_rescaling_no_amsgrad_no_ema_yes_swa_wc-02,2671,v2-swa,2
241,v2_l3_yes_rescaling_no_amsgrad_no_ema_yes_swa_wc-03,1446,v2-swa,3
242,v2_l3_yes_rescaling_no_amsgrad_no_ema_yes_swa_wc-04,1319,v2-swa,4
243,v2_l3_yes_rescaling_no_amsgrad_no_ema_yes_swa_wc-05,1923,v2-swa,5
244,v2_l3_yes_rescaling_no_amsgrad_no_ema_yes_swa_wc-06,2332,v2-swa,6
245,v2_l3_yes_rescaling_no_amsgrad_no_ema_yes_swa_wc-07,2996,v2-swa,7
246,v2_l3_yes_rescaling_no_amsgrad_no_ema_yes_swa_wc-08,2592,v2-swa,8
247,v2_l3_yes_rescaling_no_amsgrad_no_ema_yes_swa_wc-09,1435,v2-swa,9
248,v2_l3_yes_rescaling_no_amsgrad_no_ema_yes_swa_wc-10,6001,v2-swa,10
249,v2_l3_yes_rescaling_no_amsgrad_no_ema_yes_swa_wc-11,4649,v2-swa,11
250,v2_l3_yes_rescaling_no_amsgrad_no_ema_yes_swa_wc-12,1990,v2-swa,12
251,v2_l3_yes_rescaling_no_amsgrad_no_ema_yes_swa_wc-13,1363,v2-swa,13
252,v2_l3_yes_rescaling_no_amsgrad_no_ema_yes_swa_wc-14,4340,v2-swa,14
253,v2_l3_yes_rescaling_no_amsgrad_no_ema_yes_swa_wc-16,3496,v2-swa,16
254,v2_l3_yes_rescaling_no_amsgrad_no_ema_yes_swa_wc-17,1379,v2-swa,17
255,v2_l3_yes_rescaling_no_amsgrad_no_ema_yes_swa_wc-18,1473,v2-swa,18
256,v2_l3_yes_rescaling_no_amsgrad_no_ema_yes_swa_wc-19,1988,v2-swa,19
257,v2_l3_yes_rescaling_no_amsgrad_no_ema_yes_swa_wc-20,2476,v2-swa,20
258,v2_l3_yes_rescaling_no_amsgrad_no_ema_yes_swa_wc-21,2029,v2-swa,21
259,v2_l3_yes_rescaling_no_amsgrad_no_ema_yes_swa_wc-22,2533,v2-swa,22
260,v2_l3_yes_rescaling_no_amsgrad_no_ema_yes_swa_wc-23,5102,v2-swa,23
261,v2_l3_yes_rescaling_no_amsgrad_no_ema_yes_swa_wc-24,2297,v2-swa,24
262,v2_l3_yes_rescaling_no_amsgrad_no_ema_yes_swa_wc-25,1686,v2-swa,25
263,v2_l3_yes_rescaling_no_amsgrad_no_ema_yes_swa_wc-26,1379,v2-swa,26
264,v2_l3_yes_rescaling_no_amsgrad_no_ema_yes_swa_wc-27,4244,v2-swa,27
265,v2_l3_yes_rescaling_no_amsgrad_no_ema_yes_swa_wc-28,2940,v2-swa,28
266,v2_l3_yes_rescaling_no_amsgrad_no_ema_yes_swa_wc-29,3418,v2-swa,29
267,v2_l3_yes_rescaling_no_amsgrad_no_ema_yes_swa_wc-30,1487,v2-swa,30
268,v2_l3_yes_rescaling_no_amsgrad_yes_ema_no_swa_wc-01,1297,v2-ema,1
269,v2_l3_yes_rescaling_no_amsgrad_yes_ema_no_swa_wc-02,1226,v2-ema,2
